Price,Mileage,year
2000,"245,182",1997
500,250000,1997
1000,"165,000",1997
1000,"222,000",1997
2000,"245,182",1997
2000,"249,269",1998
800,"182,450",1998
3000,"190,750",1998
1400,"201,000",1998
950,"221,845",1998
800,"180,000",1997
2000,"189,500",1998
17971,"28,434",2019
16995,"26,051",2019
30848,10,2021
7750,"122,000",2009
13500,"113,051",2016
31609,0,2021
17995,"33,353",2018
24039,0,2021
27160,106,2021
11495,"114,001",2016
30930,1,2021
23810,"57,073",2018
18364,"18,013",2018
2500,"172,000",2002
31197,5,2021
5000,"170,500",2007
4581,"202,400",2007
14499,"7,794",2019
15399,"63,000",2017
15810,"87,791",2018
5020,"201,868",2011
14900,"32,213",2018
12995,"67,605",2014
9000,"120,696",2012
29143,2,2021
28054,2,2021
28088,10,2021
26800,2,2021
9680,"103,186",2011
6945,"192,086",2009
18985,"40,809",2019
24990,"24,143",2018
26499,"4,111",2018
12688,"47,958",2014
9500,"96,790",2009
18200,"29,914",2019
8964,"99,022",2012
3000,"150,651",2005
2775,"179,994",2004
